,ID,cell.names,DepmapModelType,cosmic.id,cell.names_nerd,cell.names.1
21,ACH-000219,A375,MEL,906793,A375,A375
22,ACH-001442,A388,CSCC,910697,A388,A388
23,ACH-000157,A4FUK,DLBCLNOS,910934,A4Fuk,A4-Fuk
24,ACH-000757,A427,LUAD,910851,A427,A427
25,ACH-001328,A431,CSCC,910925,A431,A431
26,ACH-000555,A498,RCC,905948,A498,A498
27,ACH-000681,A549,LUAD,905949,A549,A549
28,ACH-000052,A673,ES,684052,A673,A673
29,ACH-000429,A704,RCC,910920,A704,A704
30,ACH-000528,ABC1,LUAD,906791,NA,ABC-1
31,ACH-000046,ACHN,PRCC,905950,ACHN,ACHN
32,ACH-000880,AGS,STAD,906790,AGS,AGS
33,ACH-002209,ALLPO,BALL,910944,NA,ALL-PO
34,ACH-000105,ALLSIL,TALL,1295740,ALLSIL,ALL-SIL
35,ACH-000269,AM38,GB,910933,AM38,AM-38
36,ACH-000838,AMO1,PCM,1295741,NA,AMO-1
37,ACH-000940,AN3CA,UCEC,910781,AN3CA,AN3-CA
38,ACH-002210,ARH77,ZIMMBL,906765,NA,ARH-77
39,ACH-001443,ASH3,THAP,1290722,ASH3,ASH-3
40,ACH-000222,ASPC1,PAAD,910702,AsPC1,AsPC-1
41,ACH-002058,ATN1,TALL,NA,NA,ATN-1
42,ACH-000248,AU565,BRCA,910704,AU565,AU565
43,ACH-000456,BCPAP,THPD,924104,BCPAP,B-CPAP
44,ACH-002211,BALL1,BALL,910705,NA,BALL-1
45,ACH-002212,BB30HNC,HNSC,753531,NA,BB30-HNC
46,ACH-002213,BB49HNC,OCSC,753532,NA,BB49-HNC
47,ACH-002090,BB65RCC,RCC,753533,NA,BB65-RCC
48,ACH-002214,BC1,PEL,910919,NA,BC-1
49,ACH-002215,BC3,PEL,910918,NA,BC-3
50,ACH-002216,BE13,TALL,906763,NA,BE-13
51,ACH-002217,BE2M17,NBL,753616,NA,BE2-M17
52,ACH-001016,BECKER,ASTR,906746,Becker,Becker
53,ACH-000603,BEN,NSCLC,753534,BEN,BEN
54,ACH-000802,BFTC905,BLCA,910926,BFTC905,BFTC-905
55,ACH-000792,BFTC909,RCC,910698,BFTC909,BFTC-909
56,ACH-000191,BHT101,THAP,906696,BHT101,BHT-101
57,ACH-000548,BHY,OCSC,753535,BHY,BHY
58,ACH-001331,BICR10,OCSC,1290724,NA,BICR10
59,ACH-000794,BICR22,OCSC,1240121,BICR22,BICR22
60,ACH-000228,BICR31,OCSC,1290725,BICR31,BICR31
61,ACH-001332,BICR78,OCSC,1240122,BICR78,BICR78
62,ACH-000245,BL41,BL,910706,BL41,BL-41
63,ACH-001452,BONNA12,HCL,906695,NA,BONNA-12
64,ACH-001453,BPH1,ZHYPP,924105,BPH1,BPH-1
65,ACH-000536,BT20,IDC,906801,BT20,BT-20
66,ACH-000927,BT474,IDC,946359,BT474,BT-474
67,ACH-000818,BT483,IDC,949093,NA,BT-483
68,ACH-000288,BT549,BRCNOS,905951,BT549,BT-549
69,ACH-000432,BV173,BALL,910710,NA,BV-173
70,ACH-000535,BXPC3,PAAD,906693,BxPC3,BxPC-3
71,ACH-001333,C33A,CESC,687505,C33A,C-33-A
72,ACH-001334,C4I,CESC,687506,C4I,C-4-I
73,ACH-000009,C2BBE1,COAD,910700,C2BBe1,C2BBe1
74,ACH-000580,C32,MEL,906830,C32,C32
75,ACH-001021,C3A,LIHB,910850,NA,C3A
76,ACH-001336,CASKI,CESC,906824,CASKI,Ca-Ski
77,ACH-000440,CA46,BL,910703,CA46,CA46
78,ACH-002043,CA922,OCSC,NA,NA,Ca9-22
79,ACH-000210,CADOES1,ES,753539,CADOES1,CADO-ES1
80,ACH-000433,CAKI1,CCRCC,905963,NA,CAKI-1
81,ACH-000212,CAL120,BRCA,906826,CAL120,CAL-120
82,ACH-000826,CAL12T,NSCLC,753540,CAL12T,CAL-12T
83,ACH-000902,CAL148,IDC,924106,NA,CAL-148
84,ACH-000832,CAL27,OCSC,910916,CAL27,CAL-27
85,ACH-000142,CAL29,BLCA,1290730,CAL29,CAL-29
86,ACH-000518,CAL33,OCSC,753541,CAL33,CAL-33
87,ACH-002091,CAL39,VSC,924107,NA,CAL-39
88,ACH-000856,CAL51,BRCA,910927,CAL51,CAL-51
89,ACH-000457,CAL54,RCC,910952,CAL54,CAL-54
90,ACH-000174,CAL62,THAP,906828,CAL62,CAL-62
91,ACH-001715,CAL72,OS,906827,CAL72,CAL-72
92,ACH-000516,CAL78,DDCHS,1290765,CAL78,CAL-78
93,ACH-000857,CAL851,IDC,910852,CAL851,CAL-85-1
94,ACH-000392,CALU3,LUAD,687777,Calu3,Calu-3
95,ACH-000264,CALU6,LUAD,724859,Calu6,Calu-6
96,ACH-000783,CAMA1,ILC,946382,CAMA1,CAMA-1
97,ACH-000713,CAOV3,HGSOC,906825,Caov3,Caov-3
98,ACH-000103,CAOV4,HGSOC,949090,NA,Caov-4
99,ACH-000354,CAPAN1,PAAD,753624,CAPAN1,CAPAN-1
100,ACH-000107,CAPAN2,PAAD,910915,NA,CAPAN-2
101,ACH-002345,CAR1,READ,NA,NA,CaR-1
102,ACH-000464,CAS1,GB,910943,NA,CAS-1
103,ACH-000963,CCK81,COAD,1240123,CCK81,CCK-81
104,ACH-001738,CCRFCEM,TALL,905952,NA,CCRF-CEM
105,ACH-002218,CESS,AML,910688,NA,CESS
106,ACH-000138,CFPAC1,PAAD,906821,CFPAC1,CFPAC-1
107,ACH-001023,CGTHW1,HNSC,910568,NA,CGTH-W-1
108,ACH-000867,CHAGOK1,NSCLC,687596,ChaGoK1,ChaGo-K-1
109,ACH-001024,CHL1,MEL,910853,NA,CHL-1
110,ACH-000136,CHP126,NBL,910567,NA,CHP-126
111,ACH-001338,CHP134,NBL,910941,NA,CHP-134
112,ACH-000120,CHP212,NBL,906820,CHP212,CHP-212
113,ACH-002092,CHSA0011,CHS,1290767,NA,CHSA0011
114,ACH-002093,CHSA0108,CHS,1290768,NA,CHSA0108
115,ACH-002094,CHSA8926,CHS,1303912,NA,CHSA8926
116,ACH-000249,CL11,COAD,1290769,CL11,CL-11
117,ACH-000920,CMLT1,CMLBCRABL1,910951,CMLT1,CML-T1
118,ACH-001039,COLO205,COAD,905961,NA,COLO-205
119,ACH-002219,COLO320HSR,COAD,910569,NA,COLO-320-HSR
120,ACH-000803,COLO668,SCLC,910692,COLO668,COLO-668
121,ACH-000350,COLO678,COAD,910689,COLO678,COLO-678
122,ACH-000805,COLO679,SKCM,906818,COLO679,COLO-679
123,ACH-000717,COLO680N,ESCC,906817,COLO680N,COLO-680N
124,ACH-000864,COLO684,UCEC,910691,COLO684,COLO-684
125,ACH-000812,COLO783,MEL,1240125,COLO783,COLO-783
126,ACH-000968,COLO792,MEL,906814,COLO792,COLO-792
127,ACH-000401,COLO800,SKCM,906813,COLO800,COLO-800
128,ACH-001820,COLO824,BNNOS,,COLO824,COLO-824
129,ACH-000644,COLO829,SKCM,687448,COLO829,COLO-829
130,ACH-000161,CORL105,LUAD,906805,CORL105,COR-L105
131,ACH-000662,CORL23,LCLC,687780,CORL23,COR-L23
132,ACH-000257,CORL279,SCLC,910937,NA,COR-L279
133,ACH-002095,CORL303,SCLC,1297438,NA,COR-L303
134,ACH-000187,CORL311,SCLC,687980,CORL311,COR-L311
135,ACH-001489,CORL32,LUSC,1322212,NA,COR-L32
136,ACH-001490,CORL321,LUAD,1322213,NA,COR-L321
137,ACH-000508,CORL88,SCLC,906808,NA,COR-L88
138,ACH-000743,CORL95,SCLC,1297439,NA,COR-L95
139,ACH-002096,CP50MELB,MEL,753545,NA,CP50-MEL-B
140,ACH-002097,CP66MEL,MEL,753546,NA,CP66-MEL
141,ACH-001049,CPCN,SCLC,753547,NA,CPC-N
142,ACH-002220,CROAP2,PEL,906807,NA,CRO-AP2
143,ACH-002099,CS1,CHS,1290795,NA,CS1
144,ACH-002221,CTB1,DLBCLNOS,949088,NA,CTB-1
145,ACH-002222,CTV1,TALL,753548,NA,CTV-1
146,ACH-000998,CW2,COAD,910554,CW2,CW-2
147,ACH-002223,D245MG,GB,946366,NA,D-245MG
148,ACH-002224,D247MG,GSARC,946367,NA,D-247MG
149,ACH-002225,D263MG,GB,946368,NA,D-263MG
150,ACH-000055,D283MED,MBL,906834,NA,D-283MED
151,ACH-002226,D336MG,GSARC,946369,NA,D-336MG
152,ACH-002227,D392MG,GB,946370,NA,D-392MG
153,ACH-002228,D423MG,GB,946372,NA,D-423MG
154,ACH-002229,D502MG,GB,946373,NA,D-502MG
155,ACH-002230,D542MG,GB,753549,NA,D-542MG
156,ACH-002231,D566MG,GB,946377,NA,D-566MG
157,ACH-000243,DANG,PAAD,1290797,DANG,DAN-G
158,ACH-000211,DAOY,MBL,906833,Daoy,Daoy
159,ACH-000786,DAUDI,BL,906831,Daudi,Daudi
160,ACH-000334,DB,DLBCLNOS,906832,DB,DB
161,ACH-000863,DBTRG05MG,GB,906835,DBTRG05MG,DBTRG-05MG
162,ACH-000233,DEL,ALCLALKP,906836,DEL,DEL
163,ACH-000207,DETROIT562,OPHSC,906837,Detroit562,Detroit562
164,ACH-002232,DG75,BL,906838,NA,DG-75
165,ACH-002233,DIFI,COADREAD,1789883,NA,DiFi
166,ACH-002100,DJM1,CSCC,906841,NA,DJM-1
167,ACH-000244,DKMG,GB,906839,DKMG,DK-MG
168,ACH-000530,DMS114,SMARCA4-UT,687983,DMS114,DMS-114
169,ACH-000749,DMS273,SCLC,687985,DMS273,DMS-273
170,ACH-000698,DMS53,SCLC,907295,DMS53,DMS-53
171,ACH-000703,DMS79,SCLC,753551,DMS79,DMS-79
172,ACH-000981,DND41,TALL,1297446,DND41,DND-41
173,ACH-000056,DOHH2,DLBCLNOS,906842,NA,DOHH-2
174,ACH-002234,DOK,OHNCA,910936,NA,DOK
175,ACH-001341,DOTC24510,MCCE,906843,DOTC24510,DoTc2-4510
176,ACH-001063,DOV13,SOC,1479987,NA,DOV13
177,ACH-002235,DSH1,BLCA,753552,NA,DSH1
178,ACH-000979,DU145,PRAD,905935,NA,DU-145
179,ACH-000258,DU4475,BRCA,906844,DU4475,DU-4475
180,ACH-002236,EB3,BL,906847,NA,EB-3
181,ACH-001064,EB2,BL,906846,NA,EB2
182,ACH-000563,EBC1,LUSC,753554,EBC1,EBC-1
183,ACH-000305,ECGI10,ESCC,753555,ECGI10,EC-GI-10
184,ACH-000560,ECC10,STSC,906848,ECC10,ECC10
185,ACH-000225,ECC12,STSC,906849,ECC12,ECC12
186,ACH-000330,EFM19,IDC,906851,EFM19,EFM-19
187,ACH-000117,EFM192A,BRCA,1290798,NA,EFM-192A
188,ACH-000308,EFO21,SOC,911905,EFO21,EFO-21
189,ACH-000936,EFO27,MOV,906852,EFO27,EFO-27
190,ACH-000821,EJM,PCM,1297447,EJM,EJM
191,ACH-000706,EKVX,LUAD,905970,EKVX,EKVX
192,ACH-000295,EM2,CMLBCRABL1,906855,EM2,EM-2
193,ACH-002101,EMCBAC1,NSCLC,1503369,NA,EMC-BAC-1
194,ACH-002102,EMCBAC2,NSCLC,1503370,NA,EMC-BAC-2
195,ACH-000978,EN,UCEC,1240127,EN,EN
196,ACH-000198,EOL1,AML,906856,EoL1cell,EoL-1-cell
197,ACH-000585,EPLC272H,LUSC,753556,EPLC272H,EPLC-272H
198,ACH-000906,ES2,CCOV,1240128,ES2,ES-2
199,ACH-002103,ES1,ES,949158,NA,ES1
200,ACH-002105,ES4,ES,949156,NA,ES4
201,ACH-002106,ES5,ES,684057,NA,ES5
202,ACH-002107,ES6,ES,949157,NA,ES6
203,ACH-002108,ES7,ES,684059,NA,ES7
204,ACH-002109,ES8,ES,949155,NA,ES8
205,ACH-001496,ESO26,GEJ,1503366,ESO26,ESO26
206,ACH-001497,ESO51,ESCA,1503367,ESO51,ESO51
207,ACH-000913,ESS1,ESS,907000,ESS1,ESS-1
208,ACH-002237,ETK1,IHCH,906861,NA,ETK-1
209,ACH-001065,EVSAT,ILC,906862,NA,EVSA-T
210,ACH-002110,EW1,ES,949163,NA,EW-1
211,ACH-002111,EW11,ES,684062,NA,EW-11
212,ACH-002112,EW12,ES,949162,NA,EW-12
213,ACH-002113,EW13,ES,949166,NA,EW-13
214,ACH-002114,EW16,ES,949165,NA,EW-16
215,ACH-002115,EW18,ES,949164,NA,EW-18
216,ACH-002116,EW22,ES,949167,NA,EW-22
217,ACH-002117,EW24,ES,949168,NA,EW-24
218,ACH-002118,EW3,ES,949161,NA,EW-3
219,ACH-002119,EW7,ES,949160,NA,EW-7
220,ACH-000846,FADU,HPHSC,906863,FADU,FADU
221,ACH-001498,FARAGE,GCB,1297449,NA,Farage
222,ACH-001500,FLO1,ESCA,1503361,FLO1,FLO-1
223,ACH-000903,FTC133,THFO,906864,NA,FTC-133
224,ACH-000574,FUOV1,HGSOC,1240129,NA,FU-OV-1
225,ACH-000633,FU97,DSTAD,1290806,NA,FU97
226,ACH-000082,G292CLONEA141B1,OS,1290807,G292CloneA141B1,G-292-Clone-A141B1
227,ACH-000572,G361,MEL,906865,G361,G-361
228,ACH-000096,G401,MRT,907299,G401,G-401
229,ACH-000375,G402,MRT,907298,NA,G-402
230,ACH-002121,GMEL,SKCM,1240130,NA,G-MEL
231,ACH-000162,GA10,BL,1303896,GA10,GA-10
232,ACH-002120,GAK,VMM,910932,NA,GAK
233,ACH-000098,GAMG,GB,906868,GAMG,GAMG
234,ACH-000738,GB1,GB,687568,GB1,GB-1
235,ACH-000047,GCIY,STAD,906869,NA,GCIY
236,ACH-000835,GCT,MFH,906999,GCT,GCT
237,ACH-000081,GDM1,AML,906870,GDM1,GDM-1
238,ACH-000756,GI1,GSARC,906871,NA,GI-1
239,ACH-001344,GIMEN,NBL,906872,GIMEN,GI-ME-N
240,ACH-001716,GOTO,NBL,906875,GOTO,GOTO
241,ACH-001345,GP5D,COAD,907291,GP5D,GP5d
242,ACH-002238,GRST,BALL,906877,NA,GR-ST
243,ACH-000073,GRANTA519,MCL,1303897,GRANTA519,GRANTA-519
244,ACH-001519,HEMCSS,EMCHS,907290,HEMCSS,H-EMC-SS
245,ACH-000109,NCIH3255,LUAD,,H3255,H3255
246,ACH-000389,H4,ASTR,907042,H4,H4
247,ACH-002240,H9,SS,907043,NA,H9
248,ACH-002139,HA7RCC,RCC,753558,NA,HA7-RCC
249,ACH-002241,HAL01,BALL,949153,NA,HAL-01
250,ACH-000843,HARA,LUSC,1240142,HARA,HARA
251,ACH-002242,HC1,HCL,907044,NA,HC-1
252,ACH-000878,HCC15,LUSC,1240143,HCC15,HCC-15
253,ACH-000515,HCC33,SCLC,1303901,HCC33,HCC-33
254,ACH-000840,HCC366,LUAS,1240144,HCC366,HCC-366
255,ACH-000667,HCC44,LUAD,1240145,NA,HCC-44
256,ACH-000562,HCC78,LUAD,1290908,HCC78,HCC-78
257,ACH-000012,HCC827,LUAD,1240146,NA,HCC-827
258,ACH-000374,HCC1143,IDC,749710,HCC1143,HCC1143
259,ACH-000111,HCC1187,IDC,749711,HCC1187,HCC1187
260,ACH-000699,HCC1395,IDC,749712,NA,HCC1395
261,ACH-000277,HCC1419,IDC,907045,NA,HCC1419
262,ACH-000352,HCC1428,BRCA,1290905,HCC1428,HCC1428
263,ACH-000349,HCC1500,DCIS,1303900,NA,HCC1500
264,ACH-000930,HCC1569,IDC,907046,HCC1569,HCC1569
265,ACH-000196,HCC1599,IDC,749713,HCC1599,HCC1599
266,ACH-000624,HCC1806,DCIS,907047,HCC1806,HCC1806
267,ACH-000223,HCC1937,IDC,749714,HCC1937,HCC1937
268,ACH-000859,HCC1954,DCIS,749709,HCC1954,HCC1954
269,ACH-000725,HCC202,DCIS,1290906,NA,HCC202
270,ACH-000691,HCC2157,IDC,749715,NA,HCC2157
271,ACH-000755,HCC2218,DCIS,749716,NA,HCC2218
272,ACH-001081,HCC2998,COAD,905971,NA,HCC2998
273,ACH-000276,HCC38,IDC,749717,HCC38,HCC38
274,ACH-000668,HCC70,IDC,907048,HCC70,HCC70
275,ACH-002243,HCE4,ESCC,753559,NA,HCE-4
276,ACH-000971,HCT116,COAD,905936,HCT116,HCT-116
277,ACH-000997,HCT15,COAD,905937,HCT15,HCT-15
278,ACH-000267,HDLM2,HL,924110,HDLM2,HDLM-2
279,ACH-000643,HDQP1,IDC,1290922,HDQP1,HDQ-P1
280,ACH-001517,HEC1,UCEC,907051,HEC1,HEC-1
281,ACH-000004,HEL,AMLNOS,907053,HEL,HEL
282,ACH-001086,HELA,ECAD,1298134,HELA,HeLa
283,ACH-000625,HEP3B217,HCC,1240147,Hep3B217,Hep3B2-1-7
284,ACH-002140,HEY,HGSOC,1479988,NA,Hey
285,ACH-000847,HGC27,STAD,907055,NA,HGC-27
286,ACH-000061,HH,MTNN,907056,HH,HH
287,ACH-000002,HL60,AMLMRC,905938,HL60,HL-60
288,ACH-001089,HLE,HCC,907057,NA,HLE
289,ACH-002040,HMVII,VMM,NA,NA,HMV-II
290,ACH-002244,HO1N1,OCSC,924111,NA,HO-1-N-1
291,ACH-002045,HO1U1,OCSC,NA,NA,HO-1-u-1
292,ACH-000861,HOP62,LUAD,905972,HOP62,HOP-62
293,ACH-000825,HOP92,NSCLC,905973,HOP92,HOP-92
294,ACH-000613,HOS,OS,907060,HOS,HOS
295,ACH-000270,HPAC,PAAD,1298136,HPAC,HPAC
296,ACH-000094,HPAFII,PAAD,724869,NA,HPAF-II
297,ACH-002245,HS445,HL,1322218,NA,Hs-445
298,ACH-000148,HS578T,BRCNOS,905957,Hs578T,Hs-578-T
299,ACH-002246,HS633T,FIBS,1240149,NA,Hs-633T
300,ACH-000067,HS683,ODG,1240150,Hs683,Hs-683
301,ACH-000616,HS746T,STAD,1240151,Hs746T,Hs-746T
302,ACH-000178,HS766T,PAAD,1298141,NA,Hs-766T
303,ACH-000814,HS939T,MEL,1298144,Hs939T,Hs-939-T
304,ACH-000135,HS940T,ZFIBSKI,1298145,Hs940T,Hs-940-T
305,ACH-000472,HSC2,OCSC,753562,HSC2,HSC-2
306,ACH-000778,HSC3,OCSC,907061,HSC3,HSC-3
307,ACH-002141,HSC39,SSRCC,1322224,NA,HSC-39
308,ACH-000546,HSC4,OCSC,907062,HSC4,HSC-4
309,ACH-000914,HT,DLBCLNOS,907063,NA,HT
310,ACH-000054,HT1080,FIBS,907064,HT1080,HT-1080
311,ACH-000986,HT115,COAD,907289,HT115,HT-115
312,ACH-000547,HT1197,BLCA,907065,NA,HT-1197
313,ACH-000724,HT1376,BLCA,907066,NA,HT-1376
314,ACH-000322,HT144,MEL,907067,HT144,HT-144
315,ACH-000552,HT29,COAD,905939,HT29,HT-29
316,ACH-001525,HT3,CEAD,907068,HT3,HT-3
317,ACH-000926,HT55,COAD,907287,HT55,HT55
318,ACH-001350,HTCC3,THAP,924151,NA,HTC-C3
319,ACH-000976,HUCCT1,IHCH,907069,HuCCT1,HuCCT1
320,ACH-000475,HUH1,HCC,1298146,huH1,huH-1
321,ACH-000480,HUH7,HCC,907071,HuH7,HuH-7
322,ACH-002142,HUO3N1,OS,909977,NA,HuO-3N1
323,ACH-001526,HUO9,OS,907072,HUO9,HuO9
324,ACH-000118,HUPT3,PAAD,907285,NA,HuP-T3
325,ACH-000213,HUPT4,PAAD,907286,NA,HuP-T4
326,ACH-000538,HUTU80,DA,907073,HuTu80,HuTu-80
327,ACH-000672,IALM,LCLC,910779,IALM,IA-LM
328,ACH-000882,IGR1,MEL,907169,IGR1,IGR-1
329,ACH-000650,IGR37,MEL,1240153,IGR37,IGR-37
330,ACH-000966,IGROV1,EOV,905968,IGROV1,IGROV-1
331,ACH-001528,IHH4,THPA,1240154,IHH4,IHH-4
332,ACH-002247,IM9,ZIMMBL,753563,NA,IM-9
333,ACH-000919,IM95,STAD,1240155,IM95,IM-95
334,ACH-002248,IMR5,NBL,907170,NA,IMR-5
335,ACH-000915,IPC298,SKCM,907171,IPC298,IPC-298
336,ACH-002143,ISTMEL1,MEL,907172,NA,IST-MEL1
337,ACH-000569,ISTMES1,PLEMESO,907173,ISTMES1,IST-MES1
338,ACH-002144,ISTSL1,SCLC,753564,NA,IST-SL1
339,ACH-002145,ISTSL2,SCLC,753565,NA,IST-SL2
340,ACH-000396,J82,BLCA,753566,J82,J82
341,ACH-001529,JAR,UCCA,907175,NA,JAR
342,ACH-001530,JEG3,UCCA,907176,NA,JEG-3
343,ACH-000357,JEKO1,MCL,1327765,JEKO1,JEKO-1
344,ACH-000620,JHH1,HCC,1298151,JHH1,JHH-1
345,ACH-000577,JHH2,HCC,1240157,JHH2,JHH-2
346,ACH-000476,JHH4,HCC,1240158,JHH4,JHH-4
347,ACH-000217,JHH6,HCC,1240159,JHH6,JHH-6
348,ACH-000848,JHH7,HCC,1240160,JHH7,JHH-7
349,ACH-000132,JHOS2,HGSOC,1479995,NA,JHOS-2
350,ACH-002146,JHOS3,SOC,1480358,NA,JHOS-3
351,ACH-000584,JHOS4,HGSOC,1480359,JHOS4,JHOS-4
352,ACH-002249,JHU011,LXSC,1240161,NA,JHU-011
353,ACH-002250,JHU022,LXSC,1240162,NA,JHU-022
354,ACH-002251,JHU029,LXSC,1298156,NA,JHU-029
355,ACH-000711,JIMT1,IDC,1298157,JIMT1,JIMT-1
356,ACH-002252,JIYOYEP2003,BL,907268,NA,JiyoyeP-2003
357,ACH-000653,JJN3,PCM,1327766,JJN3,JJN-3
358,ACH-000151,JM1,BALL,1327768,JM1,JM1
359,ACH-002253,JSC1,PEL,1327769,NA,JSC-1
360,ACH-000995,JURKAT,TALL,998184,Jurkat,Jurkat
361,ACH-000326,JURLMK1,CMLBCRABL1,1327771,NA,JURL-MK1
362,ACH-000106,JVM2,MCL,907269,JVM2,JVM-2
363,ACH-000346,JVM3,BPLL,907270,NA,JVM-3
364,ACH-000551,K562,CMLBCRABL1,905940,K562,K-562
365,ACH-002147,K2,MEL,1298160,NA,K2
366,ACH-002148,K5,THPA,924238,NA,K5
367,ACH-000231,KALS1,GB,907271,KALS1,KALS-1
368,ACH-002254,KARPAS1106P,PMBL,1327773,NA,KARPAS-1106P
369,ACH-002255,KARPAS231,DLBCLNOS,1327774,NA,KARPAS-231
370,ACH-000053,KARPAS299,ALCLALKP,907273,NA,KARPAS-299
371,ACH-000315,KARPAS422,DLBCLNOS,907274,KARPAS422,KARPAS-422
372,ACH-002256,KARPAS45,TALL,907272,NA,KARPAS-45
373,ACH-000193,KARPAS620,PCM,1327775,KARPAS620,KARPAS-620
374,ACH-000263,KASUMI1,AML,907275,KASUMI1,KASUMI-1
375,ACH-000793,KATOIII,SSRCC,907276,KATOIII,KATOIII
376,ACH-000983,KCL22,CMLBCRABL1,1330931,KCL22,KCL-22
377,ACH-000101,KE37,TALL,907277,KE37,KE-37
378,ACH-000259,KELLY,NBL,753618,KELLY,KELLY
379,ACH-000386,KG1,AML,907278,KG1,KG-1
380,ACH-002149,KGN,GRCT,924186,NA,KGN
381,ACH-002257,KINGS1,AASTR,907279,NA,KINGS-1
382,ACH-000293,KLE,UCEC,924187,KLE,KLE
383,ACH-000815,KMH2,HL,909976,KMH2,KM-H2
384,ACH-000969,KM12,COAD,905989,KM12,KM12
385,ACH-002397,KMHDASH2,THAP,2054094,NA,KMH-2
386,ACH-002258,KMOE2,AML,907280,NA,KMOE-2
387,ACH-000684,KMRC1,CCRCC,1298168,NA,KMRC-1
388,ACH-000250,KMRC20,CCRCC,1298169,KMRC20,KMRC-20
389,ACH-000714,KMS11,PCM,1659817,KMS11,KMS-11
390,ACH-000380,KMS12BM,PCM,907281,KMS12BM,KMS-12-BM
391,ACH-000622,KNS42,GB,907282,KNS42,KNS-42
392,ACH-000858,KNS62,LUSC,753569,KNS62,KNS-62
393,ACH-002259,KNS81FD,GB,924188,NA,KNS-81-FD
394,ACH-001542,KON,OCSC,1298215,KON,KON
395,ACH-001106,KOPN8,BALL,1330933,NA,KOPN-8
396,ACH-001543,KOSC2,OCSC,753570,KOSC2,KOSC-2
397,ACH-001107,KP1N,PAAD,1298216,NA,KP-1N
398,ACH-000281,KP2,PAAD,1298218,KP2,KP-2
399,ACH-000108,KP3,PAASC,1298219,KP3,KP-3
400,ACH-000265,KP4,PAAD,753572,KP4,KP-4
401,ACH-000345,KPNRTBM1,NBL,924189,NA,KP-N-RT-BM-1
402,ACH-000227,KPNYN,NBL,907314,NA,KP-N-YN
403,ACH-002261,KPNYS,NBL,946363,NA,KP-N-YS
404,ACH-000631,KS1,GB,907313,KS1,KS-1
405,ACH-000486,KU1919,BLCA,907312,KU1919,KU-19-19
406,ACH-000074,KU812,CMLBCRABL1,907311,KU812,KU812
407,ACH-000524,KURAMOCHI,HGSOC,909975,KURAMOCHI,KURAMOCHI
408,ACH-002262,KY821,AMML,907300,NA,KY821
409,ACH-001544,KYAE1,ESCA,1503368,NA,KYAE-1
410,ACH-000607,KYM1,MRT,1240166,KYM1,KYM-1
411,ACH-000823,KYSE140,ESCC,753573,KYSE140,KYSE-140
412,ACH-000855,KYSE150,ESCC,907317,NA,KYSE-150
413,ACH-000693,KYSE180,ESCC,907318,KYSE180,KYSE-180
414,ACH-002263,KYSE220,ESCC,1240167,NA,KYSE-220
415,ACH-000873,KYSE270,ESCC,907319,KYSE270,KYSE-270
416,ACH-000809,KYSE410,ESCC,753574,KYSE410,KYSE-410
417,ACH-000865,KYSE450,ESCC,907320,KYSE450,KYSE-450
418,ACH-002264,KYSE50,ESCC,1298222,NA,KYSE-50
419,ACH-000824,KYSE510,ESCC,907321,KYSE510,KYSE-510
420,ACH-000637,KYSE520,ESCC,753575,KYSE520,KYSE-520
421,ACH-000784,KYSE70,ESCC,753576,KYSE70,KYSE-70
422,ACH-000702,L1236,HL,1330935,L1236,L-1236
423,ACH-000183,L363,PCM,924239,NA,L-363
424,ACH-000754,L428,HL,907322,L428,L-428
425,ACH-000806,L540,HL,907323,L540,L-540
426,ACH-000301,LAMA84,CMLBCRABL1,907783,LAMA84,LAMA-84
427,ACH-001355,LAN6,NBL,949170,NA,LAN-6
428,ACH-002150,LB1047RCC,RCC,753577,NA,LB1047-RCC
429,ACH-002151,LB2241RCC,RCC,753578,NA,LB2241-RCC
430,ACH-002152,LB2518MEL,MEL,753579,NA,LB2518-MEL
431,ACH-002153,LB373MELD,MEL,753581,NA,LB373-MEL-D
432,ACH-002154,LB647SCLC,SCLC,753582,NA,LB647-SCLC
433,ACH-002265,LB771HNC,HNSC,753583,NA,LB771-HNC
434,ACH-002266,LB831BLC,BLCA,753584,NA,LB831-BLC
435,ACH-002155,LB996RCC,RCC,753585,NA,LB996-RCC
436,ACH-002156,LC1SQ,LUSC,1298223,NA,LC-1-sq
437,ACH-002157,LC2AD,LUAD,907786,NA,LC-2-ad
438,ACH-002267,LC41,BALL,907787,NA,LC4-1
439,ACH-000627,LCLC103H,LCLC,753586,LCLC103H,LCLC-103H
440,ACH-000596,LCLC97TM1,LCLC,946361,LCLC97TM1,LCLC-97TM1
441,ACH-000769,LK2,LUSC,687787,LK2,LK-2
442,ACH-000819,LN18,GB,1240168,LN18,LN-18
443,ACH-000595,LN229,GB,1240169,LN229,LN-229
444,ACH-002268,LN405,GB,910694,NA,LN-405
445,ACH-000977,LNCAPCLONEFGC,PRAD,907788,LNCaPCloneFGC,LNCaP-Clone-FGC
446,ACH-002269,LNZTA3WT4,ASTR,1240170,NA,LNZTA3WT4
447,ACH-000176,LOUNH91,LUSC,1298226,LOUNH91,LOU-NH91
448,ACH-000104,LOUCY,TALL,907789,LOUCY,LOUCY
449,ACH-000950,LOVO,COAD,907790,LoVo,LoVo
450,ACH-000750,LOXIMVI,MEL,905974,LOXIMVI,LOXIMVI
451,ACH-000204,LP1,PCM,907791,LP1,LP-1
