,ID,cell.names,DepmapModelType,cosmic.id,cell.names_nerd,cell.names.1
682,ACH-002292,OACP4C,ESCA,1503362,NA,OACp4C
683,ACH-000116,OAW28,HGSOC,946360,OAW28,OAW-28
684,ACH-000704,OAW42,SOC,910548,NA,OAW-42
685,ACH-000962,OC314,SOC,909257,NA,OC-314
686,ACH-000113,OCIAML2,AML,910947,OCIAML2,OCI-AML2
687,ACH-000336,OCIAML3,AML,1290455,NA,OCI-AML3
688,ACH-000065,OCIAML5,AML,1330983,NA,OCI-AML5
689,ACH-000124,OCILY19,DLBCLNOS,1330984,NA,OCI-LY-19
690,ACH-001617,OCILY7,DLBCLNOS,1659819,NA,OCI-LY7
691,ACH-000751,OCIM1,AML,1330985,OCIM1,OCI-M1
692,ACH-002179,OCUBM,BRCA,909256,NA,OCUB-M
693,ACH-000247,OCUM1,DSTAD,1298358,OCUM1,OCUM-1
694,ACH-000679,OE19,ESCC,910079,OE19,OE19
695,ACH-000544,OE21,ESCC,1298359,OE21,OE21
696,ACH-000383,OE33,ESCA,910549,OE33,OE33
697,ACH-002180,OMC1,CESC,949154,NA,OMC-1
698,ACH-000776,ONS76,MBL,909248,ONS76,ONS-76
699,ACH-000024,OPM2,PCM,909249,OPM2,OPM-2
700,ACH-000159,OSRC2,CCRCC,909250,OSRC2,OS-RC-2
701,ACH-001625,OSC19,OCSC,1298362,OSC19,OSC-19
702,ACH-001626,OSC20,OCSC,1240196,OSC20,OSC-20
703,ACH-001373,OV17R,SOC,1480361,OV17R,OV-17R
704,ACH-000091,OV56,SOC,1480362,OV56,OV-56
705,ACH-000688,OV7,MXOV,1480360,OV7,OV-7
706,ACH-000291,OV90,SOC,1240197,OV90,OV-90
707,ACH-002181,OVCA420,SOC,1480364,NA,OVCA420
708,ACH-002182,OVCA433,SOC,1480367,NA,OVCA433
709,ACH-000001,NIHOVCAR3,HGSOC,905933,OVCAR3,OVCAR-3
710,ACH-000617,OVCAR4,HGSOC,905990,OVCAR4,OVCAR-4
711,ACH-001151,OVCAR5,HGSOC,905969,OVCAR5,OVCAR-5
712,ACH-000696,OVCAR8,HGSOC,905991,OVCAR8,OVCAR-8
713,ACH-000527,OVISE,CCOV,1240198,OVISE,OVISE
714,ACH-000947,OVK18,EOV,1480371,OVK18,OVK-18
715,ACH-000443,OVKATE,HGSOC,1240199,NA,OVKATE
716,ACH-002183,OVMIU,HGSOC,1240200,NA,OVMIU
717,ACH-000663,OVTOKO,CCOV,1298365,OVTOKO,OVTOKO
718,ACH-000372,P12ICHIKAWA,TALL,909251,NA,P12-ICHIKAWA
719,ACH-002059,P30OHK,BALL,,P30OHK,P30-OHK
720,ACH-000770,P31FUJ,AML,909253,NA,P31-FUJ
721,ACH-002293,P32ISH,BL,1330987,NA,P32-ISH
722,ACH-001374,PA1,OMGCT,909255,NA,PA-1
723,ACH-000599,PATU8902,PAAD,1298526,PATU8902,PA-TU-8902
724,ACH-000023,PATU8988T,PAAD,1240201,PATU8988T,PA-TU-8988T
725,ACH-000042,PANC0203,PAAD,1298475,NA,PANC-02-03
726,ACH-000139,PANC0327,PAAD,925346,NA,PANC-03-27
727,ACH-000235,PANC0403,PAAD,1298476,NA,PANC-04-03
728,ACH-000417,PANC0813,PAAD,925347,PANC0813,PANC-08-13
729,ACH-000060,PANC1005,PAAD,925348,PANC1005,PANC-10-05
730,ACH-000030,PC14,LUAD,753608,PC14,PC-14
731,ACH-000090,PC3,PRAD,905934,PC3,PC-3
732,ACH-002294,PCI15A,HPHSC,1240204,NA,PCI-15A
733,ACH-002295,PCI30,OCSC,1298529,NA,PCI-30
734,ACH-002297,PCI4B,LXSC,1298531,NA,PCI-4B
735,ACH-002298,PCI6A,OCSC,1240206,NA,PCI-6A
736,ACH-000619,PECAPJ15,OCSC,1240207,PECAPJ15,PE-CA-PJ15
737,ACH-001630,PEO1,SOC,1480372,PEO1,PEO1
738,ACH-000937,PF382,TALL,909260,PF382,PF-382
739,ACH-001711,PFSK1,PNET,683667,NA,PFSK-1
740,ACH-000218,PL21,AMLMRC,1330991,PL21,PL-21
741,ACH-002186,PL4,PAAD,1298533,NA,PL4
742,ACH-000320,PSN1,PAAD,910546,PSN1,PSN1
743,ACH-001383,PWR1E,ZIMMPRO,1330993,NA,PWR-1E
744,ACH-000347,QGP1,PANET,1298534,QGP1,QGP-1
745,ACH-002299,QIMRWIL,AML,910545,NA,QIMR-WIL
746,ACH-000654,RAJI,NHL,909262,Raji,Raji
747,ACH-002300,RAMOS2G64C10,BL,910401,NA,Ramos-2G6-4C10
748,ACH-001638,RCK8,GCB,1330995,NA,RC-K8
749,ACH-002187,RCCAB,CCRCC,1524418,NA,RCC-AB
750,ACH-002188,RCCER,CCRCC,1524417,NA,RCC-ER
751,ACH-002189,RCCFG2,CCRCC,1524414,NA,RCC-FG2
752,ACH-002190,RCCJF,CCRCC,1524415,NA,RCC-JF
753,ACH-002191,RCCJW,CCRCC,1524416,NA,RCC-JW
754,ACH-002192,RCCMF,CCRCC,1524419,NA,RCC-MF
755,ACH-000189,RCC10RGB,RCC,909974,RCC10RGB,RCC10RGB
