pubchem_cid,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2,Ncharges,C,H,N,O,RNH2,R2NH,R3N,ROPO3,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC,F,Cl,Br,S,P,B,I,K,Sb,Hg,Pt,V,Zn,Cr,Se,As,abonds,atoms,dbonds,logP,nF,sbonds,tbonds
2984337,1.210421337,1599.981651,26.06190269,20.57328525,21.38978183,18.65219834,12.16471115,13.15030971,8.748722317,9.810794114,6.515539606,7.53076162,4.685091004,5.560639134,0,9.589074368,0,11.81435946,40.8261756,27.77279803,16.66179468,31.63621882,65.23077033,15.18134214,4.736862954,521.1521606,0.842105263,1.526315789,2.184210526,0.137931034,-4.5,38,498.418,903778182.6,23.87206949,10.10200486,4.202786045,222.8342343,13.18593133,0.496765883,13.18593133,0.260885263,0.244747246,0.260885263,-0.244747246,-0.496765883,5.2695,145.798,521.602,0,8,0,1,1,3,2,5,8,0,9,0,8,0,0,0,188,4.736862954,5.749511833,10.98084098,0,11.81435946,0,24.04006227,0,0,10.19736362,36.02735322,60.33798239,52.45526212,7.109797541,6,14.32593732,34.34869284,0,24.64835152,0,11.5772581,19.40740755,96.31699495,0,22.8247541,4.736862954,0,5.749511833,11.76188495,55.87011853,0,0,27.13679897,90.34652845,0,27.84769069,0,90.21,0,1.531573077,0,0,0,0,0,0,1.993639595,81.641454,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.156098408,521.602,5.2695,8,8,0,0,0,0,8,0.186046512,25,3,8,145.798,43,0,0,0,0,90.21,5.274504513,0.00028264,0.973472257,47.69273771,35.50069253,208,253,0,29,0,5,3,0,0,0,0,0,0,0,0,0,1,0,0,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,38,2,3.2,0,13,0
3062316,1.431592913,1111.432171,23.37166824,18.50713466,20.07956019,15.92305529,10.65860328,11.85306434,7.751415203,9.189264211,5.361898965,6.588407717,3.631779672,4.619262292,0,4.794537184,0,12.51406169,38.90574894,37.56033989,17.53362945,6.066367068,32.0465756,35.38533223,16.70746729,487.1557218,1.212121212,2,2.727272727,0.363636364,-2.79,33,461.809,33876609.84,23.37093503,10.42964985,5.772233374,201.0019604,12.6930818,0.395044548,12.6930818,0.266999546,0.173117974,0.266999546,-0.266613609,-0.395044548,3.31354,132.0467,488.017,3,9,0,1,1,1,2,3,9,3,11,0,7,0,1,1,174,20.64001433,22.33727725,5.13155848,0,5.907179729,0,9.694446915,14.95193556,0,0,35.07045991,25.47729296,38.7901491,23.51374512,4,9.901064579,51.29957581,0,19.85184529,0,13.8474744,54.86415093,51.74994834,0,0,15.53348694,22.45467031,0,22.93772577,70.19621641,0,13.8474744,21.05954037,30.46231185,5.022633314,0,0,106.51,0,7.457830514,0,0,0,0,0,0,0,67.48661393,0,1,1,0,0,3,0,0,0,0,1,1,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.465717306,488.017,3.31354,9,9,3,3,3,1,9,0.194444444,13,3,10,132.0467,36,0,0,0,0,106.51,6.185236717,0.000820476,0.997563515,47.70875925,39.2700625,172,200,0,22,0,7,2,0,0,1,0,1,0,0,0,0,0,0,0,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,33,1,2,0,18,0
5278396,1.583891878,1057.287524,18.2169677,14.5130346,16.14602776,13.27598958,8.838349359,10.47134252,6.378707839,8.514683636,4.601831926,7.216139303,3.27919049,5.662999006,0,4.794537184,0,5.428790392,24.85819355,23.54844778,14.68645043,35.65650404,12.13273414,35.23174507,9.154013891,395.0649854,0.851851852,1.592592593,2.407407407,0.19047619,-2.15,27,378.369,2979401.871,16.98288719,7.110004368,3.287746557,165.0796356,12.36362269,0.440234639,12.36362269,0.199620833,0.037770797,0.199620833,-0.037770797,-0.440234639,4.7592,108.134,395.505,0,4,0,2,2,2,1,3,6,0,6,0,2,0,1,1,136,14.05392362,5.760247419,11.31297259,0,0,0,4.794537184,0,0,0,47.78923817,18.19910121,50.36763234,13.21376393,5,9.154013891,29.4079521,0,0,0,19.5819339,31.20318647,64.82063119,0,11.32369891,10.32870012,5.884182202,0,23.5237699,26.30327674,4.736862954,0,0,83.39092564,0,11.32369891,0,42.68,0,3.495010827,0,0,0,0,0,0,6.185596655,47.31939252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487533907,395.505,4.7592,6,6,0,0,0,0,6,0.064516129,18,3,6,108.134,31,0,0,0,0,42.68,3.874691798,0.000414985,0.933973489,33.42008133,25.3118,150,180,0,21,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,27,1,2.9,0,12,0
5284616,1.701997863,1755.50057,48.17226867,40.61073083,40.61073083,30.74958332,23.92402024,23.92402024,19.59072187,19.59072187,14.4789912,14.4789912,10.11653677,10.11653677,83.86619841,39.2922681,0,54.81057407,63.36049914,11.99392615,12.00970727,41.06682679,58.07504933,0,23.68431477,913.5551416,0.846153846,1.569230769,2.246153846,0.745098039,-3.37,65,834.555,4.79832E+13,54.23741623,25.12545058,14.32242976,386.7224916,14.36141029,0.460091562,14.36141029,0.328662805,0.019310587,0.328662805,-2.4280639,-0.460091562,6.1806,245.1374,914.187,3,14,1,3,4,0,0,0,13,3,14,0,6,1,2,3,366,43.90380668,30.13698494,5.783244946,5.787111153,11.69042468,5.969305288,19.17814874,4.794537184,0,0,71.07480664,106.9556178,58.46951041,24.41586555,4,62.97658287,29.22621986,0,4.899909731,35.50743628,180.0727366,27.87414903,47.6023297,0,0,0,0,0,0,131.8765775,47.65700069,35.50743628,125.5160199,47.6023297,0,0,0,195.43,0,0,0,0,0,0,0,0,0,155.5833333,0,3,2,0,0,0,0,0,0,0,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,3,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15551124,914.187,6.1806,13,13,3,3,3,3,13,0.088235294,-8,3,40,245.1374,68,0,0,0,0,195.43,6.005004691,7.03E-05,0.935288036,111.3208842,94.13376473,328,384,0,51,0,1,13,0,0,0,0,3,0,3,0,1,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,9,4.7,0,59,0
5328940,1.570806637,1272.894954,25.65612529,20.60602701,22.11788491,17.42658525,11.67734975,12.43327869,8.61742605,9.431826303,6.24711576,6.855194333,4.149517439,4.657089783,0,5.261891555,0,0,61.74183306,39.14460365,13.30664111,19.24253168,12.13273414,33.21747988,37.41246864,529.1647451,1,1.75,2.444444444,0.384615385,-2.96,36,501.224,120795972.2,26.11292304,11.8498977,5.876517095,220.8076193,9.745119972,0.495116643,9.745119972,0.162840614,0.356834592,0.162840614,0.356834592,-0.495116643,5.19038,143.3557,530.456,1,8,0,1,1,2,1,3,8,1,10,0,9,0,1,1,190,29.32719693,11.81873315,11.49902367,0,0,0,4.983978521,0,5.261891555,0,23.20187978,25.60122774,56.43958395,53.32666843,4,14.21058886,45.47957726,5.261891555,14.78379798,0,6.420821623,65.91471966,46.07102996,0,23.31775681,19.52737747,11.37477255,17.2485355,23.20187978,75.38172904,0,11.33111287,11.98427311,30.46231185,10.04526663,10.90292493,0,82.88,0,12.60412889,0,0,0,0,0,0,0,67.28476,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.378828926,530.456,5.19038,8,8,1,1,1,0,8,0.230769231,13,2,15,143.3557,39,0,0,0,0,82.88,5.590636797,0.000340976,0.982449732,53.36031974,42.94486894,186,219,0,26,0,5,3,0,0,2,0,0,0,0,0,0,3,0,1,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,36,0,3.3,0,21,1
5330286,1.507758547,1240.387811,22.94901851,19.09617015,19.09617015,16.02487714,11.64218531,11.64218531,8.864198996,8.864198996,6.720289528,6.720289528,4.993424931,4.993424931,0,9.589074368,0,22.94780416,22.97683077,62.9359226,6.9237372,17.68768042,18.32957771,25.50144398,4.983978521,447.2382732,1.121212121,1.878787879,2.545454545,0.458333333,-3.33,33,418.311,53698339.43,21.51229275,8.897288872,4.083227162,191.8089706,13.32949847,0.367740192,13.32949847,0.263110189,0.05360289,0.263110189,-0.247639588,-0.367740192,2.96582,128.6469,447.543,2,9,1,1,2,0,3,3,9,2,9,0,5,1,1,2,172,15.53348694,11.46504,5.783244946,5.948339281,5.559266895,0,14.15617402,9.967957042,4.983978521,0,12.84164325,44.38530327,43.80393424,17.44768134,5,4.794537184,34.27023472,0,24.83582381,0,45.57260172,36.39572396,46.00712834,0,0,21.09275383,17.45358833,0,0,51.48130578,0,6.9237372,54.57030469,29.32095846,0,11.03340144,0,105.04,0,0,0,0,0,0,0,0,1.722068502,70.61126483,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.575410887,447.543,2.96582,9,9,2,2,2,0,9,0.135135135,12,5,13,128.6469,37,0,0,0,0,105.04,5.265331352,0.000595446,0.991571855,46.37342666,35.83214899,180,217,0,24,0,7,2,0,1,0,0,0,0,1,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,33,2,1.9,0,18,0
6450551,1.602536873,1151.645353,19.34672421,15.21647727,16.03297385,13.74151474,8.806134597,9.622631178,6.08151932,7.196874392,4.25008117,5.315626493,2.854167114,3.838264955,0,4.794537184,0,5.907179729,5.563451492,32.08174787,0,25.0064005,72.8157109,20.49813074,0,386.1201322,1.071428571,1.928571429,2.75,0.045454545,-3.38,28,368.336,4402971.946,18.00530517,8.102901425,3.818583506,166.4488257,12.07573222,0.355076705,12.07573222,0.251671946,0.090126648,0.251671946,-0.090126648,-0.355076705,4.6391,113.2139,386.48,2,5,0,0,0,2,2,4,4,2,6,0,5,0,0,0,138,5.316788604,0,0,0,5.907179729,0,14.87719751,0,5.098681808,0,29.96098615,54.61660969,28.42170672,22.4680082,4,4.794537184,40.72402982,0,20.49813074,0,9.790966951,7.047671983,83.81182174,0,0,5.316788604,0,0,11.76188495,28.13619385,0,0,21.74584467,76.65148121,0,23.05496515,0,70.67,0,1.55561208,0,0,0,0,0,0,0,59.61105459,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.524190817,386.48,4.6391,4,4,2,2,2,0,4,0.161290323,16,2,4,113.2139,31,0,0,0,0,70.67,5.132159269,0.001151888,0.995881066,36.16956311,28.3271754,146,171,0,22,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,28,2,2.9,0,7,0
6505803,2.620307724,1212.425897,31.55974897,25.13893225,25.13893225,19.83504397,13.77085589,13.77085589,10.60057076,10.60057076,7.216740715,7.216740715,4.952711749,4.952711749,53.90068129,24.28467613,0,41.42377176,11.99392615,6.076020107,20.29561519,45.07529203,6.9237372,17.21251289,19.94425634,585.3050153,1.214285714,1.904761905,2.5,0.483870968,-3.8,42,542.354,652578352.4,34.40147855,15.99859798,9.101640409,246.7588069,13.54377765,0.438726691,13.54377765,0.404704015,0.131979096,0.404704015,-1.00060425,-0.438726691,2.5376,157.7386,585.698,5,11,1,1,2,0,0,0,9,4,11,0,6,0,0,0,230,35.68436094,6.103966388,6.103966388,11.56648989,5.907179729,6.093240071,14.38361155,4.794537184,0,6.578935684,44.22757493,38.18012822,43.9044867,23.6020114,2,38.49526499,23.56690969,0,10.63357721,17.56947957,64.9524576,20.76435149,71.14844854,0,0,16.36724469,4.794537184,0,0,73.85365413,28.59420041,11.83581209,40.53659204,71.14844854,0,0,0,166.28,0,0,0,0,0,0,0,0,0,108,0,1,1,0,0,0,0,0,0,0,4,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270594171,585.698,2.5376,9,9,4,4,4,1,9,0.139534884,1,2,16,157.7386,43,0,0,0,0,166.28,4.417650398,0.0001133,0.803388877,69.75789474,59.42993197,204,235,0,31,0,3,8,0,0,0,0,1,0,2,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,10,2.1,0,33,0
9813758,2.345992041,744.2558775,13.40541292,11.14260569,11.14260569,9.2027086,6.388350364,6.388350364,4.726627946,4.726627946,3.190838667,3.190838667,2.29492221,2.29492221,0,0,0,0,13.08951281,28.19236943,5.563451492,0,12.26321064,45.66564879,5.733667477,255.1483955,1.315789474,2.157894737,2.947368421,0.285714286,-2.14,19,238.189,34051.11796,11.92286316,4.512098561,1.917586903,111.0200453,5.540650241,0.365689322,5.540650241,0.180308596,0.568914373,0.180308596,0.568914373,-0.365689322,1.86994,77.5111,255.325,3,5,0,0,0,1,2,3,5,2,5,0,3,0,0,0,98,11.05045608,0,11.46504,0,0,0,4.400694606,9.967957042,0,0,6.066367068,31.54366003,24.98028438,11.03340144,3,0,22.49844143,0,14.36865165,5.733667477,13.8474744,18.40630142,35.65332426,0,0,11.05045608,5.817862778,0,0,27.45816446,0,13.8474744,11.25737949,24.39594478,0,16.68057866,0,68.24,0,0,0,0,0,0,0,0,2.133118859,37.36688114,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.749393268,255.325,1.86994,5,5,2,2,2,0,5,0.142857143,6,2,5,77.5111,21,0,0,0,0,68.24,3.271357172,0.000976779,0.958066781,26.59399673,20.05911211,102,123,0,14,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,0,1.3,0,6,0
9825149,1.252952528,1272.706001,22.90720215,19.43686069,19.43686069,16.74231608,12.34929445,12.34929445,9.70863462,9.70863462,7.351338929,7.351338929,5.506969369,5.506969369,0,0,0,0,18.46658557,39.39117379,45.31755571,6.327320075,30.33183534,49.89727827,10.47053043,453.2528606,0.970588235,1.794117647,2.617647059,0.357142857,-3.38,34,422.342,118256342.8,21.17324703,9.105175322,4.140039538,199.9367124,6.373870459,0.48889431,6.373870459,0.145867785,0.468209575,0.145867785,0.468209575,-0.48889431,5.3064,135.5854,453.59,2,6,1,1,2,2,2,4,6,1,6,0,7,1,1,2,174,19.93753981,30.14875387,0,0,0,0,0,9.967957042,0,0,42.46456948,67.95034247,24.3468923,5.386224214,6,4.736862954,16.85126421,0,19.43496642,5.917906046,38.33200929,25.36793669,72.68491875,0,16.87641482,10.47053043,5.817862778,5.749511833,0,39.06923564,6.606881965,5.917906046,37.28857881,67.12146726,0,22.16030442,0,69.2,0,0,0,0,0,0,0,0,2.334015311,63.49931802,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410854496,453.59,5.3064,6,6,1,1,1,0,6,0.179487179,13,4,13,135.5854,39,0,0,0,0,69.2,5.466728425,0.000578564,0.99174181,45.05495518,34.81291629,188,225,0,28,0,5,1,0,0,1,0,0,0,0,0,0,1,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,34,0,3.7,0,17,0
9826528,2.268140013,807.3045903,19.26722023,13.10109684,15.25859513,12.32860626,7.242493082,8.321242228,5.111684702,6.357316921,3.181601354,3.852592458,1.898677783,2.351874516,48.36395884,17.96578233,0,11.25083777,3.570182271,12.13273414,12.13273414,6.066367068,28.07096723,10.15437719,10.21305479,481.9950396,1.192307692,1.923076923,2.576923077,0.1875,-1.89,26,468.084,477877.8649,20.42225412,9.164647634,5.063969644,159.6240078,14.16882046,0.393591235,14.16882046,0.276562364,0.152234171,0.276562364,-1.369451006,-0.393591235,2.4667,95.2685,482.196,4,6,0,0,0,2,0,2,5,4,10,0,7,0,0,0,140,15.52984339,18.52806919,11.63444168,0,5.907179729,0,9.632125768,18.65134174,0,0,0,52.92270597,3.570182271,23.54510601,2,33.0164257,39.87282291,0,5.480096598,0,6.103966388,18.53055253,56.91713163,0,0,10.7968852,24.54601769,0,22.59087063,35.43796484,4.837588584,21.02184479,10.35798868,30.33183534,0,0,0,90.82,0,0,0,0,0,0,0,0,42.2966551,37.10482145,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359960329,482.196,2.4667,5,5,4,4,4,2,5,0.259259259,14,0,9,95.2685,27,0,0,0,0,90.82,5.020340232,0.00035316,0.97891493,35.9223723,29.70187444,128,147,0,16,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,26,1,1.2,3,14,0
9887053,0,190.8183502,11.1378282,8.010279201,10.28248726,6.447264863,4.332642069,4.332642069,3.107748324,3.107748324,1.948912778,1.948912778,1.130870467,1.130870467,11.93861058,0,0,33.14894872,0,12.84164325,12.84164325,0,0,0,31.26946411,397.060148,0.933333333,1.2,1.333333333,0.75,-0.451688312,15,383.176,864.4997418,16.95947329,8.824483561,8.536836805,102.273227,9.099537037,2,9.099537037,2,0,0.675828778,-1.824074074,-0.675828778,1.5551,49.959,397.288,4,6,1,0,1,0,0,0,2,2,7,0,0,1,0,1,90,21.68038974,0,0,0,0,33.00387764,0,9.589074368,12.08368166,0,25.68328649,0,0,0,1,40.86739622,11.93861058,0,0,0,37.76696815,0,11.46733495,0,0,0,0,0,0,34.23534702,30.65434143,0,25.68328649,0,0,11.46733495,0,122.2,0,0,0,0,0,0,0,0,0,48,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602405331,397.288,1.5551,2,2,2,2,2,0,2,0,-3,0,6,49.959,13,0,0,0,0,122.2,1.175950566,0.002891831,0.858952011,27.22258183,26.22685652,58,60,0,8,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,2,-0.6,0,11,0
9914412,1.24009312,1359.02692,26.158279,21.35258465,21.35258465,18.69100448,12.68569215,12.68569215,8.921020251,8.921020251,6.342171743,6.342171743,4.297425462,4.297425462,0,4.794537184,0,5.907179729,35.17460618,55.85916598,6.327320075,19.24253168,54.59730362,25.50144398,14.21058886,513.2376045,0.973684211,1.736842105,2.5,0.275862069,-4.21,38,482.35,622673716.2,25.44000787,12.3546558,6.368824577,221.3069157,12.40745279,0.492841757,12.40745279,0.25515764,0.153410327,0.25515764,-0.153410327,-0.492841757,4.7354,147.5809,513.598,2,9,0,1,1,3,1,4,8,2,9,0,10,0,1,1,196,24.84416607,12.14518285,11.49902367,0,5.907179729,0,9.694446915,9.967957042,0,0,18.19910121,48.8853911,48.02508454,32.44714415,5,19.00512605,34.00273999,0,14.86786677,0,6.420821623,57.19828986,78.62080932,0,11.49902367,20.10730312,17.19263533,11.49902367,0,67.33975915,4.736862954,0,16.7788103,73.05735783,0,10.90292493,0,97.84,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.293750531,513.598,4.7354,8,8,2,2,2,0,8,0.238095238,15,2,11,147.5809,42,0,0,0,0,97.84,7.065774234,0.000990522,0.999153109,53.97062516,43.91717019,196,227,0,29,0,5,4,0,0,1,0,0,0,0,0,0,3,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,38,1,2.7,0,18,0
